_cat,n,pct,periodo,cat_nome
17,3480,23.44,"Pré-ruptura (n=14,847)",Sports
20,2952,19.88,"Pré-ruptura (n=14,847)",Gaming
24,2831,19.07,"Pré-ruptura (n=14,847)",Entertainment
10,2596,17.49,"Pré-ruptura (n=14,847)",Music
22,1054,7.1,"Pré-ruptura (n=14,847)",People & Blogs
28,592,3.99,"Pré-ruptura (n=14,847)",Science & Tech
25,350,2.36,"Pré-ruptura (n=14,847)",News & Politics
1,327,2.2,"Pré-ruptura (n=14,847)",Film & Animation
23,263,1.77,"Pré-ruptura (n=14,847)",Comedy
2,115,0.77,"Pré-ruptura (n=14,847)",Autos & Vehicles
27,102,0.69,"Pré-ruptura (n=14,847)",Education
19,77,0.52,"Pré-ruptura (n=14,847)",Travel & Events
26,57,0.38,"Pré-ruptura (n=14,847)",Howto & Style
15,43,0.29,"Pré-ruptura (n=14,847)",Pets & Animals
29,8,0.05,"Pré-ruptura (n=14,847)",Cat 29
20,11209,37.67,"Pós-ruptura (n=29,754)",Gaming
10,10783,36.24,"Pós-ruptura (n=29,754)",Music
24,3068,10.31,"Pós-ruptura (n=29,754)",Entertainment
22,2868,9.64,"Pós-ruptura (n=29,754)",People & Blogs
1,1481,4.98,"Pós-ruptura (n=29,754)",Film & Animation
17,154,0.52,"Pós-ruptura (n=29,754)",Sports
27,70,0.24,"Pós-ruptura (n=29,754)",Education
23,44,0.15,"Pós-ruptura (n=29,754)",Comedy
25,25,0.08,"Pós-ruptura (n=29,754)",News & Politics
28,21,0.07,"Pós-ruptura (n=29,754)",Science & Tech
2,11,0.04,"Pós-ruptura (n=29,754)",Autos & Vehicles
26,9,0.03,"Pós-ruptura (n=29,754)",Howto & Style
15,8,0.03,"Pós-ruptura (n=29,754)",Pets & Animals
29,3,0.01,"Pós-ruptura (n=29,754)",Cat 29
