_semana,_cat,n,total,pct,cat_nome
2025-03-03,17,163,500,32.6,Sports
2025-03-03,24,100,500,20.0,Entertainment
2025-03-03,10,80,500,16.0,Music
2025-03-03,20,75,500,15.0,Gaming
2025-03-03,22,30,500,6.0,People & Blogs
2025-03-03,28,18,500,3.6,Science & Tech
2025-03-03,25,14,500,2.8,News & Politics
2025-03-03,1,8,500,1.6,Film & Animation
2025-03-03,27,4,500,0.8,Education
2025-03-03,19,3,500,0.6,Travel & Events
2025-03-03,23,3,500,0.6,Comedy
2025-03-03,2,2,500,0.4,Autos & Vehicles
2025-03-10,17,227,700,32.43,Sports
2025-03-10,10,120,700,17.14,Music
2025-03-10,24,103,700,14.71,Entertainment
2025-03-10,20,96,700,13.71,Gaming
2025-03-10,22,57,700,8.14,People & Blogs
2025-03-10,28,35,700,5.0,Science & Tech
2025-03-10,1,19,700,2.71,Film & Animation
2025-03-10,27,14,700,2.0,Education
2025-03-10,23,11,700,1.57,Comedy
2025-03-10,25,11,700,1.57,News & Politics
2025-03-10,19,7,700,1.0,Travel & Events
2025-03-17,17,207,700,29.57,Sports
2025-03-17,24,142,700,20.29,Entertainment
2025-03-17,20,104,700,14.86,Gaming
2025-03-17,10,100,700,14.29,Music
2025-03-17,22,52,700,7.43,People & Blogs
2025-03-17,28,38,700,5.43,Science & Tech
2025-03-17,25,16,700,2.29,News & Politics
2025-03-17,1,13,700,1.86,Film & Animation
2025-03-17,27,11,700,1.57,Education
2025-03-17,26,5,700,0.71,Howto & Style
2025-03-17,19,4,700,0.57,Travel & Events
2025-03-17,2,4,700,0.57,Autos & Vehicles
2025-03-17,23,4,700,0.57,Comedy
2025-03-24,17,205,700,29.29,Sports
2025-03-24,24,142,700,20.29,Entertainment
2025-03-24,20,133,700,19.0,Gaming
2025-03-24,10,94,700,13.43,Music
2025-03-24,22,45,700,6.43,People & Blogs
2025-03-24,28,39,700,5.57,Science & Tech
2025-03-24,25,11,700,1.57,News & Politics
2025-03-24,1,10,700,1.43,Film & Animation
2025-03-24,23,8,700,1.14,Comedy
2025-03-24,27,5,700,0.71,Education
2025-03-24,2,4,700,0.57,Autos & Vehicles
2025-03-24,26,4,700,0.57,Howto & Style
2025-03-31,17,164,700,23.43,Sports
2025-03-31,24,148,700,21.14,Entertainment
2025-03-31,20,137,700,19.57,Gaming
2025-03-31,10,112,700,16.0,Music
2025-03-31,22,45,700,6.43,People & Blogs
2025-03-31,28,36,700,5.14,Science & Tech
2025-03-31,1,24,700,3.43,Film & Animation
2025-03-31,23,13,700,1.86,Comedy
2025-03-31,19,7,700,1.0,Travel & Events
2025-03-31,15,4,700,0.57,Pets & Animals
2025-03-31,2,4,700,0.57,Autos & Vehicles
2025-03-31,27,3,700,0.43,Education
2025-03-31,25,2,700,0.29,News & Politics
2025-03-31,26,1,700,0.14,Howto & Style
2025-04-07,17,205,700,29.29,Sports
2025-04-07,10,129,700,18.43,Music
2025-04-07,24,111,700,15.86,Entertainment
2025-04-07,20,108,700,15.43,Gaming
2025-04-07,22,39,700,5.57,People & Blogs
2025-04-07,28,28,700,4.0,Science & Tech
2025-04-07,1,26,700,3.71,Film & Animation
2025-04-07,25,15,700,2.14,News & Politics
2025-04-07,27,15,700,2.14,Education
2025-04-07,26,9,700,1.29,Howto & Style
2025-04-07,19,7,700,1.0,Travel & Events
2025-04-07,15,4,700,0.57,Pets & Animals
2025-04-07,23,4,700,0.57,Comedy
2025-04-14,17,189,700,27.0,Sports
2025-04-14,20,149,700,21.29,Gaming
2025-04-14,24,131,700,18.71,Entertainment
2025-04-14,10,128,700,18.29,Music
2025-04-14,22,33,700,4.71,People & Blogs
2025-04-14,25,17,700,2.43,News & Politics
2025-04-14,28,15,700,2.14,Science & Tech
2025-04-14,1,14,700,2.0,Film & Animation
2025-04-14,2,14,700,2.0,Autos & Vehicles
2025-04-14,27,5,700,0.71,Education
2025-04-14,19,4,700,0.57,Travel & Events
2025-04-14,26,1,700,0.14,Howto & Style
2025-04-21,17,178,700,25.43,Sports
2025-04-21,20,166,700,23.71,Gaming
2025-04-21,24,128,700,18.29,Entertainment
2025-04-21,10,96,700,13.71,Music
2025-04-21,22,57,700,8.14,People & Blogs
2025-04-21,25,24,700,3.43,News & Politics
2025-04-21,1,20,700,2.86,Film & Animation
2025-04-21,23,11,700,1.57,Comedy
2025-04-21,28,8,700,1.14,Science & Tech
2025-04-21,26,7,700,1.0,Howto & Style
2025-04-21,2,5,700,0.71,Autos & Vehicles
2025-04-28,17,160,700,22.86,Sports
2025-04-28,24,158,700,22.57,Entertainment
2025-04-28,20,155,700,22.14,Gaming
2025-04-28,10,124,700,17.71,Music
2025-04-28,22,32,700,4.57,People & Blogs
2025-04-28,25,18,700,2.57,News & Politics
2025-04-28,27,12,700,1.71,Education
2025-04-28,23,10,700,1.43,Comedy
2025-04-28,1,9,700,1.29,Film & Animation
2025-04-28,26,7,700,1.0,Howto & Style
2025-04-28,15,4,700,0.57,Pets & Animals
2025-04-28,19,4,700,0.57,Travel & Events
2025-04-28,28,4,700,0.57,Science & Tech
2025-04-28,2,3,700,0.43,Autos & Vehicles
2025-05-05,17,178,700,25.43,Sports
2025-05-05,20,158,700,22.57,Gaming
2025-05-05,24,145,700,20.71,Entertainment
2025-05-05,10,104,700,14.86,Music
2025-05-05,22,36,700,5.14,People & Blogs
2025-05-05,25,25,700,3.57,News & Politics
2025-05-05,28,13,700,1.86,Science & Tech
2025-05-05,2,11,700,1.57,Autos & Vehicles
2025-05-05,1,10,700,1.43,Film & Animation
2025-05-05,23,9,700,1.29,Comedy
2025-05-05,26,5,700,0.71,Howto & Style
2025-05-05,29,3,700,0.43,Cat 29
2025-05-05,27,2,700,0.29,Education
2025-05-05,15,1,700,0.14,Pets & Animals
2025-05-12,17,199,700,28.43,Sports
2025-05-12,24,147,700,21.0,Entertainment
2025-05-12,10,109,700,15.57,Music
2025-05-12,20,88,700,12.57,Gaming
2025-05-12,22,45,700,6.43,People & Blogs
2025-05-12,28,26,700,3.71,Science & Tech
2025-05-12,25,24,700,3.43,News & Politics
2025-05-12,23,16,700,2.29,Comedy
2025-05-12,2,15,700,2.14,Autos & Vehicles
2025-05-12,1,11,700,1.57,Film & Animation
2025-05-12,15,10,700,1.43,Pets & Animals
2025-05-12,26,5,700,0.71,Howto & Style
2025-05-12,27,5,700,0.71,Education
2025-05-19,17,185,700,26.43,Sports
2025-05-19,24,141,700,20.14,Entertainment
2025-05-19,10,138,700,19.71,Music
2025-05-19,20,80,700,11.43,Gaming
2025-05-19,28,44,700,6.29,Science & Tech
2025-05-19,22,36,700,5.14,People & Blogs
2025-05-19,1,27,700,3.86,Film & Animation
2025-05-19,23,18,700,2.57,Comedy
2025-05-19,19,9,700,1.29,Travel & Events
2025-05-19,27,7,700,1.0,Education
2025-05-19,15,5,700,0.71,Pets & Animals
2025-05-19,2,5,700,0.71,Autos & Vehicles
2025-05-19,25,5,700,0.71,News & Politics
2025-05-26,17,156,649,24.04,Sports
2025-05-26,24,152,649,23.42,Entertainment
2025-05-26,10,140,649,21.57,Music
2025-05-26,20,83,649,12.79,Gaming
2025-05-26,22,45,649,6.93,People & Blogs
2025-05-26,28,31,649,4.78,Science & Tech
2025-05-26,25,14,649,2.16,News & Politics
2025-05-26,2,10,649,1.54,Autos & Vehicles
2025-05-26,23,7,649,1.08,Comedy
2025-05-26,19,6,649,0.92,Travel & Events
2025-05-26,1,3,649,0.46,Film & Animation
2025-05-26,27,2,649,0.31,Education
2025-06-02,20,158,699,22.6,Gaming
2025-06-02,24,143,699,20.46,Entertainment
2025-06-02,17,136,699,19.46,Sports
2025-06-02,10,118,699,16.88,Music
2025-06-02,22,43,699,6.15,People & Blogs
2025-06-02,28,31,699,4.43,Science & Tech
2025-06-02,23,28,699,4.01,Comedy
2025-06-02,1,15,699,2.15,Film & Animation
2025-06-02,25,9,699,1.29,News & Politics
2025-06-02,26,4,699,0.57,Howto & Style
2025-06-02,15,3,699,0.43,Pets & Animals
2025-06-02,19,3,699,0.43,Travel & Events
2025-06-02,2,3,699,0.43,Autos & Vehicles
2025-06-02,27,3,699,0.43,Education
2025-06-02,29,2,699,0.29,Cat 29
2025-06-09,17,136,700,19.43,Sports
2025-06-09,10,129,700,18.43,Music
2025-06-09,24,120,700,17.14,Entertainment
2025-06-09,20,119,700,17.0,Gaming
2025-06-09,22,85,700,12.14,People & Blogs
2025-06-09,28,46,700,6.57,Science & Tech
2025-06-09,25,23,700,3.29,News & Politics
2025-06-09,23,22,700,3.14,Comedy
2025-06-09,1,12,700,1.71,Film & Animation
2025-06-09,27,6,700,0.86,Education
2025-06-09,15,1,700,0.14,Pets & Animals
2025-06-09,2,1,700,0.14,Autos & Vehicles
2025-06-16,17,159,700,22.71,Sports
2025-06-16,20,154,700,22.0,Gaming
2025-06-16,24,136,700,19.43,Entertainment
2025-06-16,10,83,700,11.86,Music
2025-06-16,22,45,700,6.43,People & Blogs
2025-06-16,28,33,700,4.71,Science & Tech
2025-06-16,25,32,700,4.57,News & Politics
2025-06-16,23,26,700,3.71,Comedy
2025-06-16,1,12,700,1.71,Film & Animation
2025-06-16,27,7,700,1.0,Education
2025-06-16,15,5,700,0.71,Pets & Animals
2025-06-16,26,5,700,0.71,Howto & Style
2025-06-16,2,3,700,0.43,Autos & Vehicles
2025-06-23,24,152,699,21.75,Entertainment
2025-06-23,20,131,699,18.74,Gaming
2025-06-23,17,121,699,17.31,Sports
2025-06-23,10,102,699,14.59,Music
2025-06-23,22,50,699,7.15,People & Blogs
2025-06-23,25,47,699,6.72,News & Politics
2025-06-23,28,36,699,5.15,Science & Tech
2025-06-23,23,23,699,3.29,Comedy
2025-06-23,1,19,699,2.72,Film & Animation
2025-06-23,19,7,699,1.0,Travel & Events
2025-06-23,2,4,699,0.57,Autos & Vehicles
2025-06-23,26,4,699,0.57,Howto & Style
2025-06-23,29,3,699,0.43,Cat 29
2025-06-30,20,181,700,25.86,Gaming
2025-06-30,17,143,700,20.43,Sports
2025-06-30,24,122,700,17.43,Entertainment
2025-06-30,10,86,700,12.29,Music
2025-06-30,22,65,700,9.29,People & Blogs
2025-06-30,28,40,700,5.71,Science & Tech
2025-06-30,23,23,700,3.29,Comedy
2025-06-30,1,16,700,2.29,Film & Animation
2025-06-30,25,11,700,1.57,News & Politics
2025-06-30,2,9,700,1.29,Autos & Vehicles
2025-06-30,19,4,700,0.57,Travel & Events
2025-07-07,20,163,700,23.29,Gaming
2025-07-07,24,156,700,22.29,Entertainment
2025-07-07,10,130,700,18.57,Music
2025-07-07,17,129,700,18.43,Sports
2025-07-07,22,64,700,9.14,People & Blogs
2025-07-07,28,27,700,3.86,Science & Tech
2025-07-07,25,9,700,1.29,News & Politics
2025-07-07,1,7,700,1.0,Film & Animation
2025-07-07,23,7,700,1.0,Comedy
2025-07-07,19,5,700,0.71,Travel & Events
2025-07-07,2,3,700,0.43,Autos & Vehicles
2025-07-14,17,173,700,24.71,Sports
2025-07-14,24,142,700,20.29,Entertainment
2025-07-14,20,135,700,19.29,Gaming
2025-07-14,10,111,700,15.86,Music
2025-07-14,22,59,700,8.43,People & Blogs
2025-07-14,28,31,700,4.43,Science & Tech
2025-07-14,25,15,700,2.14,News & Politics
