mes,n_total,cat17_n,cat17_pct,cat25_n,cat25_pct,cat20_n,cat20_pct,cat10_n,cat10_pct,cat24_n,cat24_pct,cat22_n,cat22_pct
2025-03,2700,830,30.74,52,1.93,430,15.93,411,15.22,508,18.81,188,6.96
2025-04,3000,791,26.37,75,2.5,591,19.7,485,16.17,568,18.93,184,6.13
2025-05,3049,776,25.45,68,2.23,490,16.07,548,17.97,659,21.61,175,5.74
2025-06,2998,597,19.91,116,3.87,606,20.21,475,15.84,577,19.25,234,7.81
2025-07,3100,486,15.68,39,1.26,835,26.94,677,21.84,519,16.74,273,8.81
2025-08,3100,10,0.32,0,0.0,1233,39.77,1202,38.77,241,7.77,294,9.48
2025-09,3000,13,0.43,0,0.0,1223,40.77,1095,36.5,250,8.33,273,9.1
2025-10,2998,43,1.43,1,0.03,1156,38.56,1131,37.73,252,8.41,279,9.31
2025-11,3000,38,1.27,1,0.03,1152,38.4,1097,36.57,284,9.47,309,10.3
2025-12,3098,9,0.29,0,0.0,1141,36.83,1074,34.67,360,11.62,304,9.81
2026-01,3050,34,1.11,0,0.0,1127,36.95,1083,35.51,292,9.57,320,10.49
2026-02,2750,3,0.11,0,0.0,1053,38.29,1024,37.24,268,9.75,268,9.75
2026-03,3100,1,0.03,1,0.03,1110,35.81,1111,35.84,419,13.52,276,8.9
2026-04,2991,2,0.07,2,0.07,1049,35.07,1007,33.67,391,13.07,279,9.33
2026-05,2667,1,0.04,20,0.75,965,36.18,959,35.96,311,11.66,266,9.97
